# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of AOI12 T0 W1
F delay__VA__lh__OUT__hl__ACQ_1 of AOI12 T1 W1
F delay__VA__hl__OUT__lh__ACQ_1 of AOI12 T2 W1
C Cin__VSS__lh__ACQ_1 of AOI12 T3 W1
C Cin__VSS__hl__ACQ_1 of AOI12 T4 W1
F delay__VB__lh__OUT__hl__ACQ_1 of AOI12 T5 W1
F delay__VB__hl__OUT__lh__ACQ_1 of AOI12 T6 W1
F delay__VC__lh__OUT__hl__ACQ_1 of AOI12 T7 W1
F delay__VC__hl__OUT__lh__ACQ_1 of AOI12 T8 W1
C Cin__VDD__lh__ACQ_1 of AOI12 T9 W1
C Cin__VDD__hl__ACQ_1 of AOI12 T10 W1
F delay__VA__lh__OUT__hl__ACQ_1 of AOI12 T11 W1
F delay__VA__hl__OUT__lh__ACQ_1 of AOI12 T12 W1
F delay__VB__lh__OUT__hl__ACQ_1 of AOI12 T13 W1
F delay__VB__hl__OUT__lh__ACQ_1 of AOI12 T14 W1
F delay__VC__lh__OUT__hl__ACQ_1 of AOI12 T15 W1
F delay__VC__hl__OUT__lh__ACQ_1 of AOI12 T16 W1
C leakage_power__ACQ_1 of AOI12 T17 W1
F delay__VA__lh__OUT__hl__ACQ_1 of AOI12 T18 W1
F delay__VA__hl__OUT__lh__ACQ_1 of AOI12 T19 W1
C Cin__VSS__lh__ACQ_1 of AOI12 T20 W1
C Cin__VSS__hl__ACQ_1 of AOI12 T21 W1
F delay__VB__lh__OUT__hl__ACQ_1 of AOI12 T22 W1
F delay__VB__hl__OUT__lh__ACQ_1 of AOI12 T23 W1
F delay__VC__lh__OUT__hl__ACQ_1 of AOI12 T24 W1
F delay__VC__hl__OUT__lh__ACQ_1 of AOI12 T25 W1
C Cin__VDD__lh__ACQ_1 of AOI12 T26 W1
C Cin__VDD__hl__ACQ_1 of AOI12 T27 W1
F delay__VA__lh__OUT__hl__ACQ_1 of AOI12 T28 W1
F delay__VA__hl__OUT__lh__ACQ_1 of AOI12 T29 W1
F delay__VB__lh__OUT__hl__ACQ_1 of AOI12 T30 W1
F delay__VB__hl__OUT__lh__ACQ_1 of AOI12 T31 W1
F delay__VC__lh__OUT__hl__ACQ_1 of AOI12 T32 W1
F delay__VC__hl__OUT__lh__ACQ_1 of AOI12 T33 W1
