# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C initialization__ACQ_7 of Flip_Flop T0 W1
C setup_hbm__D__lh__CLK__hl__ACQ_1 of Flip_Flop T1 W1
C initialization__ACQ_6 of Flip_Flop T2 W1
C setup_hbm__D__hl__CLK__hl__ACQ_1 of Flip_Flop T3 W1
C initialization__ACQ_4 of Flip_Flop T4 W1
C leakage_power__ACQ_1 of Flip_Flop T5 W1
C Cin__D__hl__ACQ_1 of Flip_Flop T6 W1
C Cin__D__lh__ACQ_1 of Flip_Flop T7 W1
C Cin__VSS__hl__ACQ_1 of Flip_Flop T8 W1
C Cin__VSS__lh__ACQ_1 of Flip_Flop T9 W1
C initialization__ACQ_5 of Flip_Flop T10 W1
C ncmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of Flip_Flop T11 W1
C removal_hbm__R__hl__CLK__hl__ACQ_1 of Flip_Flop T12 W1
C recover_hbm__R__hl__CLK__hl__ACQ_1 of Flip_Flop T13 W1
C initialization__ACQ_1 of Flip_Flop T14 W1
C initialization__ACQ_2 of Flip_Flop T15 W1
C cmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of Flip_Flop T16 W1
C cmpw_hbm__R__lh__R__hl__ACQ_1 of Flip_Flop T17 W1
C initialization__ACQ_3 of Flip_Flop T18 W1
C delay__CLK__hl__Q__hl__ACQ_1 of Flip_Flop T19 W1
C delay__CLK__hl__Q__lh__ACQ_1 of Flip_Flop T20 W1
C hold_hbm__D__lh__CLK__hl__ACQ_1 of Flip_Flop T21 W1
C hold_hbm__D__hl__CLK__hl__ACQ_1 of Flip_Flop T22 W1
C Cin__CLK__lh__ACQ_1 of Flip_Flop T23 W1
C Cin__VDD__hl__ACQ_1 of Flip_Flop T24 W1
C Cin__VDD__lh__ACQ_1 of Flip_Flop T25 W1
C delay__R__lh__Q__hl__ACQ_1 of Flip_Flop T26 W1
C Cin__R__hl__ACQ_1 of Flip_Flop T27 W1
