// InputL    InputR
   4BC8      12A4      // 1
   910F      368C      // 2
   1EDD      AFB9      // 3
   0AF9      F554      // 4
   2FE8      4C22      // 5
   8CBF      47FC      // 6
   E735      8A7F      // 7
   B6FC      D304      // 8
   4052      3CD2      // 9
   00D3      BA93      // 10
   4A91      EA05      // 11
   3166      0DF2      // 12
   A789      5062      // 13
   E660      520F      // 14
   0F95      E019      // 15
   116C      03FB      // 16
   CD54      3CBE      // 17
   78BC      0E6D      // 18
   4027      BDC8      // 19
   3283      563C      // 20
   5BB6      EF13      // 21
   2D7B      30E9      // 22
   256C      125F      // 23
   AB5F      E713      // 24
   3AF6      9BCF      // 25
   C072      3900      // 26
   48C8      B06A      // 27
   D6F7      D81B      // 28
   9298      B09D      // 29
   29B7      EA70      // 30
   71E1      A9B7      // 31
   4C7E      8932      // 32
   CE62      E06C      // 33
   A29E      4336      // 34
   A99C      4C53      // 35
   E56B      9B75      // 36
   9657      1B69      // 37
   A2BD      868E      // 38
   3A1D      2C8B      // 39
   BB71      F041      // 40
   D2BD      93FF      // 41
   E4E8      35F5      // 42
   ADCA      18EC      // 43
   2786      A834      // 44
   AD1A      B8DD      // 45
   6034      0F2A      // 46
   CA48      2342      // 47
   C1DF      2429      // 48
   8E32      3CEF      // 49
   4FF7      1627      // 50
