//Loading PDBs.
//PDB loading of cell: AOI22
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
1                        3.42e-17   2.46e-17   7.20e-01    AOI22   GND!     GND!  
2                        5.50e-17   2.46e-17   4.47e-01    AOI22   VDD!     VDD!  
3                        2.13e-18   0.00e+00   0.00e+00    AOI22   C        C  
4                        1.47e-17   1.19e-17   8.12e-01    AOI22   D        D  
5                        2.66e-17   2.38e-17   8.96e-01    AOI22   B        B  
6                        1.48e-17   1.19e-17   8.04e-01    AOI22   A        A  
7                        1.35e-17   2.39e-18   1.77e-01    AOI22   7        NET1  
8                        1.31e-17   3.18e-18   2.42e-01    AOI22   OUT      OUT  
9                        4.35e-18   0.00e+00   0.00e+00    AOI22   9        NET4  
10                       5.13e-18   7.89e-19   1.54e-01    AOI22   10       NET6  
