//Loading PDBs.
//PDB loading of cell: CSA
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
1                        3.46e-15   9.16e-16   2.64e-01    CSA     GND!     GND!  
2                        3.85e-15   9.07e-16   2.35e-01    CSA     VDD!     VDD!  
3                        1.56e-16   2.13e-17   1.36e-01    CSA     B8       B8  
4                        1.56e-16   2.13e-17   1.36e-01    CSA     B4       B4  
5                        7.78e-17   1.07e-17   1.38e-01    CSA     B0       B0  
6                        1.59e-16   2.33e-17   1.46e-01    CSA     A8       A8  
7                        1.59e-16   2.33e-17   1.46e-01    CSA     A4       A4  
8                        7.91e-17   1.19e-17   1.50e-01    CSA     A0       A0  
9                        5.62e-17   4.99e-18   8.89e-02    CSA     CARRY    CARRY  
10                       1.05e-16   4.02e-17   3.82e-01    CSA     10       XI2/XI1/NET4  
11                       1.04e-16   4.06e-17   3.88e-01    CSA     11       XI2/XI0/NET4  
12                       1.05e-16   4.02e-17   3.82e-01    CSA     12       XI1/XI1/NET4  
13                       1.04e-16   4.06e-17   3.88e-01    CSA     13       XI1/XI0/NET4  
14                       3.40e-16   2.34e-16   6.89e-01    CSA     14       XI0/NET4  
15                       1.20e-16   5.92e-17   4.95e-01    CSA     15       XI2/NET11  
16                       1.20e-16   5.92e-17   4.95e-01    CSA     16       XI1/NET11  
17                       2.70e-17   5.45e-19   2.02e-02    CSA     17       XI2/NET4  
18                       2.70e-17   9.40e-19   3.48e-02    CSA     18       XI1/NET4  
19                       3.72e-17   2.62e-17   7.06e-01    CSA     19       XI2/XI1/NET1  
20                       3.84e-17   2.70e-17   7.02e-01    CSA     20       XI2/XI0/NET1  
21                       3.72e-17   2.62e-17   7.06e-01    CSA     21       XI1/XI1/NET1  
22                       3.84e-17   2.70e-17   7.02e-01    CSA     22       XI1/XI0/NET1  
23                       2.14e-16   1.64e-16   7.68e-01    CSA     23       XI0/NET1  
24                       4.62e-17   6.36e-18   1.38e-01    CSA     24       XI2/XI4/NET1  
25                       4.62e-17   6.36e-18   1.38e-01    CSA     25       XI1/XI4/NET1  
26                       2.48e-17   4.70e-19   1.90e-02    CSA     26       XI2/NET9  
27                       2.48e-17   7.05e-19   2.84e-02    CSA     27       XI1/NET9  
28                       4.47e-17   2.64e-17   5.90e-01    CSA     28       XI2/XI4/NET3  
29                       3.29e-17   3.21e-17   9.74e-01    CSA     B9       B9  
30                       4.47e-17   2.64e-17   5.90e-01    CSA     30       XI1/XI4/NET3  
31                       3.29e-17   3.21e-17   9.74e-01    CSA     B5       B5  
32                       1.34e-16   9.59e-17   7.15e-01    CSA     B1       B1  
33                       3.34e-17   0.00e+00   0.00e+00    CSA     A9       A9  
34                       3.34e-17   0.00e+00   0.00e+00    CSA     A5       A5  
35                       1.60e-17   0.00e+00   0.00e+00    CSA     A1       A1  
36                       4.62e-17   1.83e-17   3.96e-01    CSA     36       XI2/NET13  
37                       4.62e-17   1.83e-17   3.96e-01    CSA     37       XI1/NET13  
38                       8.74e-17   2.81e-17   3.22e-01    CSA     38       XI2/XI1/NET6  
39                       8.71e-17   2.81e-17   3.22e-01    CSA     39       XI2/XI0/NET6  
40                       8.74e-17   2.81e-17   3.22e-01    CSA     40       XI1/XI1/NET6  
41                       8.71e-17   2.81e-17   3.22e-01    CSA     41       XI1/XI0/NET6  
42                       3.77e-16   2.78e-16   7.37e-01    CSA     42       XI0/NET6  
43                       8.77e-17   2.80e-17   3.20e-01    CSA     43       XI2/XI1/NET7  
44                       8.76e-17   2.80e-17   3.20e-01    CSA     44       XI2/XI0/NET7  
45                       8.77e-17   2.80e-17   3.20e-01    CSA     45       XI1/XI1/NET7  
46                       8.76e-17   2.80e-17   3.20e-01    CSA     46       XI1/XI0/NET7  
47                       2.60e-16   1.60e-16   6.15e-01    CSA     47       XI0/NET7  
48                       1.04e-16   5.65e-17   5.46e-01    CSA     48       XI2/XI1/NET8  
49                       1.03e-16   5.60e-17   5.45e-01    CSA     49       XI2/XI0/NET8  
50                       1.04e-16   5.65e-17   5.46e-01    CSA     50       XI1/XI1/NET8  
51                       1.03e-16   5.60e-17   5.45e-01    CSA     51       XI1/XI0/NET8  
52                       5.72e-16   4.41e-16   7.72e-01    CSA     52       XI0/NET8  
53                       3.92e-17   2.61e-17   6.66e-01    CSA     53       XI2/NET3  
54                       3.92e-17   2.62e-17   6.67e-01    CSA     54       XI1/NET3  
55                       4.66e-17   2.26e-17   4.84e-01    CSA     55       XI2/XI5/NET1  
56                       4.65e-17   2.26e-17   4.85e-01    CSA     56       XI1/XI5/NET1  
57                       3.72e-17   9.83e-18   2.64e-01    CSA     57       XI2/NET8  
58                       3.71e-17   9.83e-18   2.65e-01    CSA     58       XI1/NET8  
59                       4.57e-17   1.52e-17   3.33e-01    CSA     59       XI2/XI5/NET3  
60                       4.57e-17   1.52e-17   3.33e-01    CSA     60       XI1/XI5/NET3  
61                       1.57e-16   2.24e-17   1.42e-01    CSA     B10      B10  
62                       1.57e-16   2.24e-17   1.42e-01    CSA     B6       B6  
63                       7.79e-17   1.09e-17   1.40e-01    CSA     B2       B2  
64                       1.59e-16   2.40e-17   1.51e-01    CSA     A10      A10  
65                       1.60e-16   2.40e-17   1.50e-01    CSA     A6       A6  
