//Loading PDBs.
//PDB loading of cell: OAI22
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
1                        5.50e-17   2.46e-17   4.47e-01    OAI22   GND!     GND!  
2                        3.42e-17   2.46e-17   7.20e-01    OAI22   VDD!     VDD!  
3                        2.13e-18   0.00e+00   0.00e+00    OAI22   C        C  
4                        1.47e-17   1.19e-17   8.12e-01    OAI22   D        D  
5                        2.66e-17   2.38e-17   8.96e-01    OAI22   B        B  
6                        1.48e-17   1.19e-17   8.04e-01    OAI22   A        A  
7                        1.35e-17   2.39e-18   1.77e-01    OAI22   7        NET6  
8                        1.31e-17   3.18e-18   2.42e-01    OAI22   OUT      OUT  
9                        4.35e-18   0.00e+00   0.00e+00    OAI22   9        NET3  
10                       5.13e-18   7.89e-19   1.54e-01    OAI22   10       NET2  
